id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786950017_5kr7dhc5o,2025-11-22T04:49:10.017Z,7d0e63563aba1b751227380cb9f12da130d57c76aa0b63dca48ffe7b0dce56dd,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,19,19,4,3,0
audit_1763786950004_eqwzy2rxh,2025-11-22T04:49:10.004Z,8c92a52e96b4e7100c661085468da356dea8ab92b6d0089f8676d430d722f5f8,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,32,32,4,2,0
audit_1763786949990_r8d5usqqe,2025-11-22T04:49:09.990Z,41e5ee1746b14441ff66412529492664f4e795123e66c90ed73be00c2dfb452d,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,24,24,4,4,0
audit_1763786949971_4x35099fh,2025-11-22T04:49:09.971Z,dc0ec1a4c2a68c476d4d3e93b2198dfdf96b67763c5c692100a34c925dc7f065,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,34,34,4,3,0
audit_1763786949959_pyn9forhk,2025-11-22T04:49:09.959Z,8c92a52e96b4e7100c661085468da356dea8ab92b6d0089f8676d430d722f5f8,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,32,32,4,3,0
audit_1763786949947_4a1a74rfc,2025-11-22T04:49:09.947Z,2d08873fbde87cf68cb28dd5a08748499af98ae1041f70941f67d191105a6db5,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,3,0
audit_1763786949928_k267jk108,2025-11-22T04:49:09.928Z,340a2ffb836931a9f49159688501923ac19a2e4c43736a3de084be3e3089e26f,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,5,0
audit_1763786949917_fjexiojww,2025-11-22T04:49:09.917Z,cecadcca7bad4ac70ff5d946923e52e98999c449fa5a5b6baf6ac039bd42932c,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,2,0
audit_1763786949909_tkfrassyi,2025-11-22T04:49:09.909Z,d9e762110cf050a1725f6a7daf8d3b2160b4545d878db47f516a298d868f4a1a,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,6,0
audit_1763786949894_uugidw4s2,2025-11-22T04:49:09.894Z,a1d2733858c4917308a0b647f4698c5d97a8446f4b01ed124ff1ff21702902d5,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,2,0
audit_1763786949886_hrhmzsd58,2025-11-22T04:49:09.886Z,10b85daf174869e0053718ad736f9b1f3dbeb22d55716ac7c2625265d53ab776,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,3,0
audit_1763786949876_myeuab9dg,2025-11-22T04:49:09.876Z,3b8ec298b42891a564f885019e1c6cfe2fc18ed564842bd85b9a0314675beb1b,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,2,0
audit_1763786949867_m6dzk3oem,2025-11-22T04:49:09.867Z,5077402b5d86bd69802140b1338f5756ad4681507fb615682c00c7373b21e93f,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,3,0
audit_1763786949858_blcmvzc9x,2025-11-22T04:49:09.858Z,d53b2a2eff15c110fc149d94dd47461c63c554ea54ed0616b3295d0ff3c578aa,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,3,0
audit_1763786949848_wg9cr79i3,2025-11-22T04:49:09.848Z,3a15e586172b633b71e696543582d677a285e0214e37fb933e0489940186eb5b,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,26,26,4,3,0
audit_1763786949745_eqy9xrbd3,2025-11-22T04:49:09.745Z,7218dae816bc1830a657e5bf141eb5d90cd93d62222cc79a1e8a371b32600e5d,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,32,32,4,7,0
audit_1763786949729_7mp67back,2025-11-22T04:49:09.729Z,5a5fa4981739e6d1d4d35092aa0dd2708381deed5dce1129e839803e06700406,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,30,30,4,2,0
audit_1763786949716_by52cu8kw,2025-11-22T04:49:09.716Z,476effd19692520ee189e5ed7537a3e2f3bcbc221fa7e0ad83968ec237036703,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,35,35,4,2,0
